,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,1.0,0.9525691699604744,0.9304229195088677,0.9457142857142857,0.9320388349514563,0.9436572199730094,0.9521490420270169,0.9436953577553693
recall,1.0,0.9783491204330176,0.9228687415426252,0.8958051420838972,0.9713322091062394,0.9436572199730094,0.9536710426331559,0.9436572199730094
f1-score,1.0,0.965287049399199,0.9266304347826086,0.9200833912439194,0.9512799339388934,0.9436572199730094,0.9526561618729241,0.9433797732001944
support,154.0,739.0,739.0,739.0,593.0,0.9436572199730094,2964.0,2964.0
