,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.926829268292683,0.8453188602442334,0.7507246376811594,0.8251851851851851,0.8438395415472779,0.8228744939271255,0.8383794985901079,0.8206533577170466
recall,0.987012987012987,0.8430311231393776,0.7009472259810555,0.7537212449255751,0.9932546374367622,0.8228744939271255,0.8555934436991514,0.8228744939271255
f1-score,0.9559748427672956,0.8441734417344173,0.7249825052484254,0.7878359264497878,0.9124709527498064,0.8228744939271255,0.8450875337899465,0.8198827244377572
support,154.0,739.0,739.0,739.0,593.0,0.8228744939271255,2964.0,2964.0
